rank,mod_label,mod_type,max_clique,LP,ILP,gap,delta_vs_caoduro
1,lab_3,H_shrink_left,2,162.0000,106,1.528302,+0.000000
2,lab_2,H_shrink_left,2,162.0000,106,1.528302,+0.000000
3,lab_1,H_shrink_left,2,162.0000,106,1.528302,+0.000000
4,lab_4,H_shrink_left,2,162.0000,106,1.528302,+0.000000
5,lab_6,H_shrink_left,2,162.0000,106,1.528302,+0.000000
6,lab_7,H_shrink_left,2,162.0000,106,1.528302,+0.000000
7,lab_8,H_shrink_left,2,162.0000,106,1.528302,+0.000000
8,lab_9,H_shrink_left,2,162.0000,106,1.528302,+0.000000
9,lab_10,H_shrink_left,2,162.0000,106,1.528302,+0.000000
10,lab_9,H_extend_right,2,162.0000,106,1.528302,+0.000000
11,lab_11,H_shrink_left,2,162.0000,106,1.528302,+0.000000
12,lab_12,H_shrink_left,2,162.0000,106,1.528302,+0.000000
13,lab_13,H_shrink_left,2,162.0000,106,1.528302,+0.000000
14,lab_15,H_shrink_left,2,162.0000,106,1.528302,+0.000000
15,lab_16,H_shrink_left,2,162.0000,106,1.528302,+0.000000
16,lab_18,H_shrink_left,2,162.0000,106,1.528302,+0.000000
17,lab_18,H_extend_right,2,162.0000,106,1.528302,+0.000000
18,lab_19,H_shrink_left,2,162.0000,106,1.528302,+0.000000
19,lab_21,H_shrink_left,2,162.0000,106,1.528302,+0.000000
20,lab_20,H_shrink_left,2,162.0000,106,1.528302,+0.000000
21,lab_22,H_shrink_left,2,162.0000,106,1.528302,+0.000000
22,lab_23,H_shrink_left,2,162.0000,106,1.528302,+0.000000
23,lab_24,H_shrink_left,2,162.0000,106,1.528302,+0.000000
24,lab_26,H_shrink_left,2,162.0000,106,1.528302,+0.000000
25,lab_27,H_extend_right,2,162.0000,106,1.528302,+0.000000
26,lab_27,H_shrink_left,2,162.0000,106,1.528302,+0.000000
27,lab_28,H_shrink_left,2,162.0000,106,1.528302,+0.000000
28,lab_29,H_shrink_left,2,162.0000,106,1.528302,+0.000000
29,lab_30,H_shrink_left,2,162.0000,106,1.528302,+0.000000
30,lab_29,H_shrink_right,2,162.0000,106,1.528302,+0.000000
31,lab_31,H_shrink_left,2,162.0000,106,1.528302,+0.000000
32,lab_33,H_shrink_left,2,162.0000,106,1.528302,+0.000000
33,lab_32,H_shrink_left,2,162.0000,106,1.528302,+0.000000
34,lab_35,H_shrink_left,2,162.0000,106,1.528302,+0.000000
35,lab_34,H_shrink_left,2,162.0000,106,1.528302,+0.000000
36,lab_36,H_extend_right,2,162.0000,106,1.528302,+0.000000
37,lab_36,H_shrink_left,2,162.0000,106,1.528302,+0.000000
38,lab_37,H_shrink_left,2,162.0000,106,1.528302,+0.000000
39,lab_39,H_shrink_left,2,162.0000,106,1.528302,+0.000000
40,lab_40,H_shrink_left,2,162.0000,106,1.528302,+0.000000
41,lab_41,H_shrink_left,2,162.0000,106,1.528302,+0.000000
42,lab_40,H_shrink_right,2,162.0000,106,1.528302,+0.000000
43,lab_42,H_shrink_left,2,162.0000,106,1.528302,+0.000000
44,lab_43,H_shrink_left,2,162.0000,106,1.528302,+0.000000
45,lab_45,H_shrink_left,2,162.0000,106,1.528302,+0.000000
46,lab_44,H_shrink_left,2,162.0000,106,1.528302,+0.000000
47,lab_46,H_shrink_left,2,162.0000,106,1.528302,+0.000000
48,lab_47,H_shrink_left,2,162.0000,106,1.528302,+0.000000
49,lab_45,H_extend_right,2,162.0000,106,1.528302,+0.000000
50,lab_48,H_shrink_left,2,162.0000,106,1.528302,+0.000000
51,lab_49,H_shrink_left,2,162.0000,106,1.528302,+0.000000
52,lab_50,H_shrink_left,2,162.0000,106,1.528302,+0.000000
53,lab_51,H_shrink_left,2,162.0000,106,1.528302,+0.000000
54,lab_53,H_shrink_left,2,162.0000,106,1.528302,+0.000000
55,lab_52,H_shrink_left,2,162.0000,106,1.528302,+0.000000
56,lab_54,H_shrink_left,2,162.0000,106,1.528302,+0.000000
57,lab_54,H_extend_right,2,162.0000,106,1.528302,+0.000000
58,lab_55,H_shrink_left,2,162.0000,106,1.528302,+0.000000
59,lab_56,H_shrink_left,2,162.0000,106,1.528302,+0.000000
60,lab_57,H_shrink_left,2,162.0000,106,1.528302,+0.000000
61,lab_58,H_shrink_left,2,162.0000,106,1.528302,+0.000000
62,lab_59,H_shrink_left,2,162.0000,106,1.528302,+0.000000
63,lab_60,H_shrink_left,2,162.0000,106,1.528302,+0.000000
64,lab_62,H_shrink_left,2,162.0000,106,1.528302,+0.000000
65,lab_61,H_shrink_left,2,162.0000,106,1.528302,+0.000000
66,lab_63,H_shrink_left,2,162.0000,106,1.528302,+0.000000
67,lab_65,H_shrink_left,2,162.0000,106,1.528302,+0.000000
68,lab_66,H_shrink_left,2,162.0000,106,1.528302,+0.000000
69,lab_68,H_shrink_left,2,162.0000,106,1.528302,+0.000000
70,lab_67,H_shrink_left,2,162.0000,106,1.528302,+0.000000
71,lab_69,H_shrink_left,2,162.0000,106,1.528302,+0.000000
72,lab_71,H_shrink_left,2,162.0000,106,1.528302,+0.000000
73,lab_70,H_shrink_left,2,162.0000,106,1.528302,+0.000000
74,lab_72,H_extend_right,2,162.0000,106,1.528302,+0.000000
75,lab_73,H_shrink_left,2,162.0000,106,1.528302,+0.000000
76,lab_72,H_shrink_left,2,162.0000,106,1.528302,+0.000000
77,lab_74,H_shrink_left,2,162.0000,106,1.528302,+0.000000
78,lab_75,H_shrink_left,2,162.0000,106,1.528302,+0.000000
79,lab_76,H_shrink_left,2,162.0000,106,1.528302,+0.000000
80,lab_75,H_shrink_right,2,162.0000,106,1.528302,+0.000000
81,lab_78,H_shrink_left,2,162.0000,106,1.528302,+0.000000
82,lab_77,H_shrink_left,2,162.0000,106,1.528302,+0.000000
83,lab_79,H_shrink_left,2,162.0000,106,1.528302,+0.000000
84,lab_81,H_shrink_left,2,162.0000,106,1.528302,+0.000000
85,lab_80,H_shrink_left,2,162.0000,106,1.528302,+0.000000
86,lab_81,H_extend_right,2,162.0000,106,1.528302,+0.000000
87,lab_82,H_shrink_left,2,162.0000,106,1.528302,+0.000000
88,lab_82,H_extend_right,2,162.0000,106,1.528302,+0.000000
89,lab_84,H_extend_right,2,162.0000,106,1.528302,+0.000000
90,lab_85,H_shrink_right,2,162.0000,106,1.528302,+0.000000
91,lab_85,H_shrink_left,2,162.0000,106,1.528302,+0.000000
92,lab_82,H_shrink_right,2,162.0000,106,1.528302,+0.000000
93,lab_87,H_extend_right,2,162.0000,106,1.528302,+0.000000
94,lab_88,H_shrink_right,2,162.0000,106,1.528302,+0.000000
95,lab_85,H_extend_right,2,162.0000,106,1.528302,+0.000000
96,lab_88,H_extend_right,2,162.0000,106,1.528302,+0.000000
97,lab_90,H_extend_right,2,162.0000,106,1.528302,+0.000000
98,lab_91,H_shrink_left,2,162.0000,106,1.528302,+0.000000
99,lab_93,H_extend_right,2,162.0000,106,1.528302,+0.000000
100,lab_91,H_shrink_right,2,162.0000,106,1.528302,+0.000000
101,lab_94,H_shrink_right,2,162.0000,106,1.528302,+0.000000
102,lab_96,H_extend_right,2,162.0000,106,1.528302,+0.000000
103,lab_97,H_shrink_left,2,162.0000,106,1.528302,+0.000000
104,lab_94,H_shrink_left,2,162.0000,106,1.528302,+0.000000
105,lab_97,H_shrink_right,2,162.0000,106,1.528302,+0.000000
106,lab_94,H_extend_right,2,162.0000,106,1.528302,+0.000000
107,lab_99,H_extend_right,2,162.0000,106,1.528302,+0.000000
108,lab_102,H_extend_right,2,162.0000,106,1.528302,+0.000000
109,lab_103,H_shrink_left,2,162.0000,106,1.528302,+0.000000
110,lab_97,H_extend_right,2,162.0000,106,1.528302,+0.000000
111,lab_103,H_shrink_right,2,162.0000,106,1.528302,+0.000000
112,lab_100,H_shrink_right,2,162.0000,106,1.528302,+0.000000
113,lab_100,H_shrink_left,2,162.0000,106,1.528302,+0.000000
114,lab_103,H_extend_right,2,162.0000,106,1.528302,+0.000000
115,lab_100,H_extend_right,2,162.0000,106,1.528302,+0.000000
116,lab_105,H_extend_right,2,162.0000,106,1.528302,+0.000000
117,lab_108,H_extend_right,2,162.0000,106,1.528302,+0.000000
118,lab_109,H_shrink_right,2,162.0000,106,1.528302,+0.000000
119,lab_109,H_extend_right,2,162.0000,106,1.528302,+0.000000
120,lab_106,H_extend_right,2,162.0000,106,1.528302,+0.000000
121,lab_111,H_extend_right,2,162.0000,106,1.528302,+0.000000
122,lab_109,H_shrink_left,2,162.0000,106,1.528302,+0.000000
123,lab_112,H_shrink_left,2,162.0000,106,1.528302,+0.000000
124,lab_112,H_shrink_right,2,162.0000,106,1.528302,+0.000000
125,lab_114,H_extend_right,2,162.0000,106,1.528302,+0.000000
126,lab_112,H_extend_right,2,162.0000,106,1.528302,+0.000000
127,lab_117,H_extend_right,2,162.0000,106,1.528302,+0.000000
128,lab_115,H_shrink_right,2,162.0000,106,1.528302,+0.000000
129,lab_115,H_extend_right,2,162.0000,106,1.528302,+0.000000
130,lab_118,H_shrink_left,2,162.0000,106,1.528302,+0.000000
131,lab_115,H_shrink_left,2,162.0000,106,1.528302,+0.000000
132,lab_118,H_shrink_right,2,162.0000,106,1.528302,+0.000000
133,lab_118,H_extend_right,2,162.0000,106,1.528302,+0.000000
134,lab_120,H_extend_right,2,162.0000,106,1.528302,+0.000000
135,lab_123,H_extend_right,2,162.0000,106,1.528302,+0.000000
136,lab_124,H_shrink_right,2,162.0000,106,1.528302,+0.000000
137,lab_121,H_shrink_right,2,162.0000,106,1.528302,+0.000000
138,lab_124,H_extend_right,2,162.0000,106,1.528302,+0.000000
139,lab_126,H_extend_right,2,162.0000,106,1.528302,+0.000000
140,lab_124,H_shrink_left,2,162.0000,106,1.528302,+0.000000
141,lab_127,H_shrink_left,2,162.0000,106,1.528302,+0.000000
142,lab_127,H_shrink_right,2,162.0000,106,1.528302,+0.000000
143,lab_127,H_extend_right,2,162.0000,106,1.528302,+0.000000
144,lab_129,H_extend_right,2,162.0000,106,1.528302,+0.000000
145,lab_130,H_shrink_right,2,162.0000,106,1.528302,+0.000000
146,lab_132,H_extend_right,2,162.0000,106,1.528302,+0.000000
147,lab_130,H_shrink_left,2,162.0000,106,1.528302,+0.000000
148,lab_133,H_shrink_right,2,162.0000,106,1.528302,+0.000000
149,lab_133,H_extend_right,2,162.0000,106,1.528302,+0.000000
150,lab_135,H_extend_right,2,162.0000,106,1.528302,+0.000000
151,lab_133,H_shrink_left,2,162.0000,106,1.528302,+0.000000
152,lab_136,H_shrink_left,2,162.0000,106,1.528302,+0.000000
153,lab_138,H_extend_right,2,162.0000,106,1.528302,+0.000000
154,lab_139,H_shrink_left,2,162.0000,106,1.528302,+0.000000
155,lab_141,H_extend_right,2,162.0000,106,1.528302,+0.000000
156,lab_136,H_extend_right,2,162.0000,106,1.528302,+0.000000
157,lab_139,H_shrink_right,2,162.0000,106,1.528302,+0.000000
158,lab_139,H_extend_right,2,162.0000,106,1.528302,+0.000000
159,lab_142,H_shrink_right,2,162.0000,106,1.528302,+0.000000
160,lab_144,H_extend_right,2,162.0000,106,1.528302,+0.000000
161,lab_142,H_shrink_left,2,162.0000,106,1.528302,+0.000000
162,lab_147,H_extend_right,2,162.0000,106,1.528302,+0.000000
163,lab_142,H_extend_right,2,162.0000,106,1.528302,+0.000000
164,lab_145,H_extend_right,2,162.0000,106,1.528302,+0.000000
165,lab_145,H_shrink_right,2,162.0000,106,1.528302,+0.000000
166,lab_145,H_shrink_left,2,162.0000,106,1.528302,+0.000000
167,lab_148,H_shrink_right,2,162.0000,106,1.528302,+0.000000
168,lab_148,H_shrink_left,2,162.0000,106,1.528302,+0.000000
169,lab_151,H_shrink_left,2,162.0000,106,1.528302,+0.000000
170,lab_150,H_extend_right,2,162.0000,106,1.528302,+0.000000
171,lab_151,H_shrink_right,2,162.0000,106,1.528302,+0.000000
172,lab_153,H_extend_right,2,162.0000,106,1.528302,+0.000000
173,lab_154,H_shrink_right,2,162.0000,106,1.528302,+0.000000
174,lab_156,H_extend_right,2,162.0000,106,1.528302,+0.000000
175,lab_151,H_extend_right,2,162.0000,106,1.528302,+0.000000
176,lab_157,H_shrink_left,2,162.0000,106,1.528302,+0.000000
177,lab_154,H_shrink_left,2,162.0000,106,1.528302,+0.000000
178,lab_159,H_extend_right,2,162.0000,106,1.528302,+0.000000
179,lab_157,H_shrink_right,2,162.0000,106,1.528302,+0.000000
180,lab_157,H_extend_right,2,162.0000,106,1.528302,+0.000000
181,lab_160,H_extend_right,2,162.0000,106,1.528302,+0.000000
182,lab_162,H_extend_right,2,162.0000,106,1.528302,+0.000000
183,lab_160,H_shrink_left,2,162.0000,106,1.528302,+0.000000
184,lab_160,H_shrink_right,2,162.0000,106,1.528302,+0.000000
185,lab_163,H_extend_right,2,162.0000,106,1.528302,+0.000000
186,lab_165,H_extend_right,2,162.0000,106,1.528302,+0.000000
187,lab_166,H_shrink_right,2,162.0000,106,1.528302,+0.000000
188,lab_166,H_extend_right,2,162.0000,106,1.528302,+0.000000
189,lab_163,H_shrink_left,2,162.0000,106,1.528302,+0.000000
190,lab_163,H_shrink_right,2,162.0000,106,1.528302,+0.000000
191,lab_168,H_extend_right,2,162.0000,106,1.528302,+0.000000
192,lab_166,H_shrink_left,2,162.0000,106,1.528302,+0.000000
193,lab_169,H_shrink_right,2,162.0000,106,1.528302,+0.000000
194,lab_169,H_extend_right,2,162.0000,106,1.528302,+0.000000
195,lab_171,H_extend_right,2,162.0000,106,1.528302,+0.000000
196,lab_172,H_shrink_left,2,162.0000,106,1.528302,+0.000000
197,lab_169,H_shrink_left,2,162.0000,106,1.528302,+0.000000
198,lab_174,H_extend_right,2,162.0000,106,1.528302,+0.000000
199,lab_175,H_shrink_left,2,162.0000,106,1.528302,+0.000000
200,lab_172,H_shrink_right,2,162.0000,106,1.528302,+0.000000
201,lab_175,H_shrink_right,2,162.0000,106,1.528302,+0.000000
202,lab_172,H_extend_right,2,162.0000,106,1.528302,+0.000000
203,lab_175,H_extend_right,2,162.0000,106,1.528302,+0.000000
204,lab_177,H_extend_right,2,162.0000,106,1.528302,+0.000000
205,lab_178,H_shrink_right,2,162.0000,106,1.528302,+0.000000
206,lab_178,H_extend_right,2,162.0000,106,1.528302,+0.000000
207,lab_180,H_extend_right,2,162.0000,106,1.528302,+0.000000
208,lab_183,H_extend_right,2,162.0000,106,1.528302,+0.000000
209,lab_178,H_shrink_left,2,162.0000,106,1.528302,+0.000000
210,lab_181,H_shrink_left,2,162.0000,106,1.528302,+0.000000
211,lab_181,H_shrink_right,2,162.0000,106,1.528302,+0.000000
212,lab_184,H_shrink_left,2,162.0000,106,1.528302,+0.000000
213,lab_184,H_shrink_right,2,162.0000,106,1.528302,+0.000000
214,lab_181,H_extend_right,2,162.0000,106,1.528302,+0.000000
215,lab_184,H_extend_right,2,162.0000,106,1.528302,+0.000000
216,lab_186,H_extend_right,2,162.0000,106,1.528302,+0.000000
217,lab_187,H_shrink_right,2,162.0000,106,1.528302,+0.000000
218,lab_189,H_extend_right,2,162.0000,106,1.528302,+0.000000
219,lab_187,H_shrink_left,2,162.0000,106,1.528302,+0.000000
220,lab_190,H_shrink_left,2,162.0000,106,1.528302,+0.000000
221,lab_190,H_shrink_right,2,162.0000,106,1.528302,+0.000000
222,lab_192,H_extend_right,2,162.0000,106,1.528302,+0.000000
223,lab_187,H_extend_right,2,162.0000,106,1.528302,+0.000000
224,lab_193,H_shrink_left,2,162.0000,106,1.528302,+0.000000
225,lab_190,H_extend_right,2,162.0000,106,1.528302,+0.000000
226,lab_193,H_shrink_right,2,162.0000,106,1.528302,+0.000000
227,lab_195,H_extend_right,2,162.0000,106,1.528302,+0.000000
228,lab_198,H_extend_right,2,162.0000,106,1.528302,+0.000000
229,lab_193,H_extend_right,2,162.0000,106,1.528302,+0.000000
230,lab_196,H_shrink_right,2,162.0000,106,1.528302,+0.000000
231,lab_199,H_shrink_left,2,162.0000,106,1.528302,+0.000000
232,lab_196,H_shrink_left,2,162.0000,106,1.528302,+0.000000
233,lab_199,H_shrink_right,2,162.0000,106,1.528302,+0.000000
234,lab_199,H_extend_right,2,162.0000,106,1.528302,+0.000000
235,lab_196,H_extend_right,2,162.0000,106,1.528302,+0.000000
236,lab_201,H_extend_right,2,162.0000,106,1.528302,+0.000000
237,lab_202,H_shrink_left,2,162.0000,106,1.528302,+0.000000
238,lab_202,H_extend_right,2,162.0000,106,1.528302,+0.000000
239,lab_202,H_shrink_right,2,162.0000,106,1.528302,+0.000000
240,lab_204,H_extend_right,2,162.0000,106,1.528302,+0.000000
241,lab_205,H_shrink_right,2,162.0000,106,1.528302,+0.000000
242,lab_205,H_shrink_left,2,162.0000,106,1.528302,+0.000000
243,lab_205,H_extend_right,2,162.0000,106,1.528302,+0.000000
244,lab_207,H_extend_right,2,162.0000,106,1.528302,+0.000000
245,lab_208,H_shrink_left,2,162.0000,106,1.528302,+0.000000
246,lab_210,H_extend_right,2,162.0000,106,1.528302,+0.000000
247,lab_211,H_shrink_left,2,162.0000,106,1.528302,+0.000000
248,lab_211,H_shrink_right,2,162.0000,106,1.528302,+0.000000
249,lab_211,H_extend_right,2,162.0000,106,1.528302,+0.000000
250,lab_208,H_shrink_right,2,162.0000,106,1.528302,+0.000000
251,lab_213,H_extend_right,2,162.0000,106,1.528302,+0.000000
252,lab_208,H_extend_right,2,162.0000,106,1.528302,+0.000000
253,lab_214,H_shrink_left,2,162.0000,106,1.528302,+0.000000
254,lab_214,H_shrink_right,2,162.0000,106,1.528302,+0.000000
255,lab_214,H_extend_right,2,162.0000,106,1.528302,+0.000000
256,lab_217,H_shrink_left,2,162.0000,106,1.528302,+0.000000
257,lab_216,H_extend_right,2,162.0000,106,1.528302,+0.000000
258,lab_217,H_extend_right,2,162.0000,106,1.528302,+0.000000
259,lab_219,H_extend_right,2,162.0000,106,1.528302,+0.000000
260,lab_220,H_shrink_left,2,162.0000,106,1.528302,+0.000000
261,lab_220,H_shrink_right,2,162.0000,106,1.528302,+0.000000
262,lab_220,H_extend_right,2,162.0000,106,1.528302,+0.000000
263,lab_217,H_shrink_right,2,162.0000,106,1.528302,+0.000000
264,lab_223,H_shrink_left,2,162.0000,106,1.528302,+0.000000
265,lab_222,H_extend_right,2,162.0000,106,1.528302,+0.000000
